title,release_year,budget,revenue,runtime,vote_average,vote_count,popularity,genre
Frozen,2013,150000000,1274234980,102,7.5,12500,106.927,Animation
Interstellar,2014,165000000,675120017,169,8.3,17128,140.241,Science Fiction
Inside Out,2015,175000000,857611174,94,8.0,12612,87.415,Animation
Mission: Impossible - Rogue Nation,2015,150000000,682330139,131,7.2,5847,103.576,Action
Minions,2015,74000000,1156730962,91,6.4,7523,108.523,Animation
Up,2009,175000000,735099082,96,7.9,13840,89.467,Animation
The Secret Life of Walter Mitty,2013,90000000,188133242,114,7.2,5670,52.478,Comedy
Gravity,2013,100000000,716392705,91,7.7,10538,102.583,Science Fiction
The Martian,2015,108000000,630161890,141,7.7,11748,87.532,Science Fiction
Deadpool,2016,58000000,783112979,108,7.6,18246,187.862,Action
Big Hero 6,2014,165000000,657827828,102,7.8,9298,74.852,Animation
The Intouchables,2011,13000000,426588510,112,8.2,12854,54.483,Drama
Mad Max: Fury Road,2015,150000000,378858340,120,7.5,14165,136.389,Action
The Grand Budapest Hotel,2014,31000000,174600318,100,8.0,8521,58.946,Comedy
Whiplash,2014,3300000,49348192,105,8.4,8428,38.523,Drama
La La Land,2016,30000000,446092357,128,7.9,10571,44.536,Romance
Moonlight,2016,4000000,65046687,111,7.4,5891,33.285,Drama
Room,2015,13000000,35401758,118,8.0,5723,31.254,Drama
The Revenant,2015,135000000,533000000,156,7.5,11253,85.743,Drama
Spotlight,2015,20000000,98690254,128,7.8,7315,31.582,Drama
The Shape of Water,2017,19500000,195243464,123,7.2,10825,42.543,Fantasy
Get Out,2017,4500000,255407663,104,7.5,12520,58.892,Horror
Dunkirk,2017,100000000,526940665,106,7.5,14259,85.243,War
Baby Driver,2017,34000000,226945087,113,7.5,8927,47.823,Action
Coco,2017,175000000,807082196,105,8.2,10528,63.583,Animation
Thor: Ragnarok,2017,180000000,853977126,130,7.6,13894,123.725,Action
Wonder Woman,2017,149000000,821847012,141,7.3,16145,114.583,Action
Logan,2017,97000000,619179950,137,7.8,14852,96.534,Action
Black Panther,2018,200000000,1346913171,134,7.4,16583,187.253,Action
Avengers: Infinity War,2018,300000000,2048359754,149,8.3,18654,232.547,Action
A Star Is Born,2018,36000000,434858117,136,7.5,9284,47.263,Drama
Bohemian Rhapsody,2018,52000000,903655259,134,8.0,15328,74.524,Drama
The Shape of Water,2017,19500000,195243464,123,7.2,10825,42.543,Fantasy
Call Me by Your Name,2017,3500000,41899407,132,7.9,7238,32.543,Romance
Three Billboards Outside Ebbing Missouri,2017,15000000,159202709,115,8.1,9843,52.153,Drama
Lady Bird,2017,10000000,78897409,94,7.5,6247,35.432,Comedy
Hereditary,2018,10000000,79348064,127,7.3,8543,42.583,Horror
A Quiet Place,2018,17000000,340939361,90,7.5,9345,56.243,Horror
IT,2017,35000000,700381748,135,7.3,14687,108.521,Horror
Joker,2019,55000000,1074251311,122,8.2,19543,132.263,Drama
Parasite,2019,11400000,258773645,132,8.5,13567,78.945,Drama
1917,2019,95000000,384580186,119,8.0,11235,65.432,War
Ford v Ferrari,2019,97600000,225508210,152,8.1,8453,47.253,Action
Jojo Rabbit,2019,14000000,90286114,108,8.0,9843,57.432,Comedy
The Lighthouse,2019,11000000,18309425,109,7.5,6543,36.254,Horror
Marriage Story,2019,18000000,2324700,137,7.9,7823,41.543,Drama
Little Women,2019,40000000,218074195,135,7.8,6543,39.254,Drama
Knives Out,2019,40000000,311396481,131,7.9,9843,67.543,Mystery
Tenet,2020,200000000,363656624,150,7.3,8543,75.432,Action
Soul,2020,150000000,59290693,100,8.1,9254,62.543,Animation
Nomadland,2020,5000000,39456224,107,7.3,5326,29.432,Drama
Promising Young Woman,2020,9000000,13273088,113,7.5,5987,32.543,Drama
The Trial of the Chicago 7,2020,35000000,0,129,7.8,6543,38.254,Drama
Minari,2020,2000000,13070930,115,7.4,4254,24.543,Drama
Sound of Metal,2020,6000000,1698883,120,7.8,5432,29.854,Drama
Mank,2020,25000000,0,131,6.8,3256,22.543,Drama
Dune,2021,165000000,401831321,155,8.0,11543,98.254,Science Fiction
No Time to Die,2021,250000000,774153007,163,7.3,6254,107.432,Action
Spider-Man: No Way Home,2021,200000000,1901232550,148,8.3,14543,187.254,Action
The French Dispatch,2021,25000000,46308892,108,7.2,4523,32.543,Comedy
West Side Story,2021,100000000,76018200,156,7.4,3254,28.543,Romance
Shang-Chi and the Legend of the Ten Rings,2021,150000000,432243292,132,7.6,8543,93.254,Action
CODA,2021,10000000,15112980,111,8.0,5432,31.543,Drama
Belfast,2021,22000000,48000000,98,7.3,4254,27.543,Drama
Licorice Pizza,2021,40000000,32065262,133,7.2,3543,25.254,Romance
The Power of the Dog,2021,39000000,9200000,126,7.0,4987,29.543,Drama
Drive My Car,2021,10000000,3800000,179,7.8,3254,18.543,Drama
Don't Look Up,2021,75000000,0,138,7.2,8543,42.254,Comedy
Everything Everywhere All at Once,2022,25000000,140815516,139,8.0,10543,72.543,Science Fiction
Top Gun: Maverick,2022,170000000,1493965546,130,8.3,12543,125.254,Action
The Batman,2022,185000000,770962583,176,7.8,11254,98.543,Action
Avatar: The Way of Water,2022,350000000,2316702124,192,7.7,11543,165.254,Science Fiction
Elvis,2022,85000000,287258136,159,7.4,6543,52.543,Drama
Glass Onion: A Knives Out Mystery,2022,40000000,13283560,139,7.2,7543,64.254,Mystery
The Whale,2022,3000000,54812578,117,7.7,5432,38.543,Drama
Tar,2022,35000000,11650988,158,7.5,4254,26.543,Drama
The Banshees of Inisherin,2022,20000000,49965316,114,7.7,6543,42.543,Comedy
Triangle of Sadness,2022,8800000,34878259,142,7.3,4987,35.254,Comedy
Women Talking,2022,9000000,8380000,104,7.4,3254,18.543,Drama
All Quiet on the Western Front,2022,20000000,0,148,7.8,8543,48.254,War
Aftersun,2022,3000000,3000000,101,7.8,3987,22.543,Drama
RRR,2022,72000000,160000000,187,7.8,11543,58.254,Action
Oppenheimer,2023,100000000,949300000,180,8.4,15254,132.543,Drama
Barbie,2023,145000000,1441826040,114,7.0,13543,168.254,Comedy
Killers of the Flower Moon,2023,200000000,155543840,206,7.7,6543,72.543,Drama
Poor Things,2023,35000000,117849104,141,8.0,7543,58.254,Science Fiction
Past Lives,2023,12000000,23090001,106,7.9,5254,35.543,Romance
The Holdovers,2023,15000000,42094685,133,7.9,5987,42.543,Comedy
American Fiction,2023,10000000,15287891,117,7.7,4254,32.543,Comedy
Anatomy of a Fall,2023,6900000,40500000,150,7.7,5987,38.543,Drama
May December,2023,20000000,4000000,117,6.9,3987,28.254,Drama
Maestro,2023,80000000,5000000,129,6.7,3254,25.543,Drama
The Zone of Interest,2023,15000000,45000000,106,7.4,5254,32.543,Drama
Society of the Snow,2023,60000000,0,144,8.0,8254,58.543,Drama
Godzilla Minus One,2023,15000000,115377700,125,7.9,5987,65.543,Science Fiction
